 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.6549654E+06 0.2508166E-06 0.2638078E-06 0.2662198E-06 0.2669216E-06 0.2676141E-06 0.2682980E-06 0.2689728E-06 0.2696412E-06 0.2703012E-06 0.2709525E-06 0.2716000E-06 0.2722367E-06 0.2728649E-06
 0.6043482E+06 0.2491731E-06 0.2618697E-06 0.2688780E-06 0.2695868E-06 0.2702862E-06 0.2709769E-06 0.2716585E-06 0.2723336E-06 0.2730001E-06 0.2736579E-06 0.2743119E-06 0.2749550E-06 0.2755894E-06
 0.5576429E+06 0.2476154E-06 0.2600311E-06 0.2710339E-06 0.2722922E-06 0.2729986E-06 0.2736962E-06 0.2743846E-06 0.2750665E-06 0.2757397E-06 0.2764041E-06 0.2770647E-06 0.2777142E-06 0.2783550E-06
 0.5145470E+06 0.2461405E-06 0.2582878E-06 0.2690385E-06 0.2750384E-06 0.2757520E-06 0.2764566E-06 0.2771520E-06 0.2778407E-06 0.2785207E-06 0.2791918E-06 0.2798591E-06 0.2805151E-06 0.2811624E-06
 0.4747817E+06 0.2447452E-06 0.2566363E-06 0.2671466E-06 0.2767643E-06 0.2785472E-06 0.2792590E-06 0.2799614E-06 0.2806571E-06 0.2813440E-06 0.2820220E-06 0.2826960E-06 0.2833587E-06 0.2840125E-06
 0.4380895E+06 0.2434267E-06 0.2550731E-06 0.2653539E-06 0.2747511E-06 0.2813852E-06 0.2821043E-06 0.2828138E-06 0.2835166E-06 0.2842105E-06 0.2848953E-06 0.2855762E-06 0.2862457E-06 0.2869061E-06
 0.4042330E+06 0.2421825E-06 0.2535948E-06 0.2636566E-06 0.2728436E-06 0.2814044E-06 0.2849932E-06 0.2857100E-06 0.2864200E-06 0.2871210E-06 0.2878129E-06 0.2885007E-06 0.2891770E-06 0.2898442E-06
 0.3729929E+06 0.2410101E-06 0.2521985E-06 0.2620511E-06 0.2710376E-06 0.2794033E-06 0.2873097E-06 0.2886510E-06 0.2893682E-06 0.2900765E-06 0.2907754E-06 0.2914703E-06 0.2921536E-06 0.2928277E-06
 0.3441672E+06 0.2399071E-06 0.2508813E-06 0.2605340E-06 0.2693290E-06 0.2775088E-06 0.2852326E-06 0.2916375E-06 0.2923622E-06 0.2930778E-06 0.2937840E-06 0.2944861E-06 0.2951764E-06 0.2958575E-06
 0.3175692E+06 0.2388714E-06 0.2496405E-06 0.2591021E-06 0.2677143E-06 0.2757166E-06 0.2832665E-06 0.2904557E-06 0.2954029E-06 0.2961259E-06 0.2968395E-06 0.2975489E-06 0.2982464E-06 0.2989345E-06
 0.2930268E+06 0.2379011E-06 0.2484736E-06 0.2577524E-06 0.2661899E-06 0.2740230E-06 0.2814070E-06 0.2884327E-06 0.2951911E-06 0.2992219E-06 0.2999429E-06 0.3006597E-06 0.3013645E-06 0.3020599E-06
 0.2703810E+06 0.2369941E-06 0.2473783E-06 0.2564821E-06 0.2647526E-06 0.2724240E-06 0.2796498E-06 0.2865197E-06 0.2931235E-06 0.2994873E-06 0.3030952E-06 0.3038196E-06 0.3045318E-06 0.3052344E-06
 0.2494854E+06 0.2361487E-06 0.2463524E-06 0.2552887E-06 0.2633995E-06 0.2709164E-06 0.2779912E-06 0.2847125E-06 0.2911689E-06 0.2973865E-06 0.3033974E-06 0.3070295E-06 0.3077493E-06 0.3084593E-06
 0.2302046E+06 0.2353633E-06 0.2453939E-06 0.2541696E-06 0.2621277E-06 0.2694970E-06 0.2764274E-06 0.2830070E-06 0.2893229E-06 0.2954012E-06 0.3012738E-06 0.3070092E-06 0.3110180E-06 0.3117356E-06
 0.2124139E+06 0.2346362E-06 0.2445008E-06 0.2531228E-06 0.2609345E-06 0.2681626E-06 0.2749552E-06 0.2813994E-06 0.2875812E-06 0.2935268E-06 0.2992676E-06 0.3048710E-06 0.3102956E-06 0.3150644E-06
 0.1959980E+06 0.2339661E-06 0.2436713E-06 0.2521459E-06 0.2598176E-06 0.2669105E-06 0.2735713E-06 0.2798862E-06 0.2859401E-06 0.2917591E-06 0.2973743E-06 0.3028519E-06 0.3081519E-06 0.3133091E-06
 0.1808509E+06 0.2333515E-06 0.2429039E-06 0.2512371E-06 0.2587745E-06 0.2657381E-06 0.2722729E-06 0.2784642E-06 0.2843959E-06 0.2900940E-06 0.2955894E-06 0.3009473E-06 0.3061285E-06 0.3111676E-06
 0.1668743E+06 0.2327912E-06 0.2421967E-06 0.2503944E-06 0.2578032E-06 0.2646429E-06 0.2710571E-06 0.2771302E-06 0.2829453E-06 0.2885280E-06 0.2939091E-06 0.2991527E-06 0.3042208E-06 0.3091473E-06
 0.1539779E+06 0.2322840E-06 0.2415486E-06 0.2496161E-06 0.2569016E-06 0.2636227E-06 0.2699214E-06 0.2758815E-06 0.2815850E-06 0.2870574E-06 0.2923294E-06 0.2974641E-06 0.3024243E-06 0.3072436E-06
 0.1420782E+06 0.2318288E-06 0.2409579E-06 0.2489006E-06 0.2560678E-06 0.2626752E-06 0.2688634E-06 0.2747154E-06 0.2803121E-06 0.2856792E-06 0.2908470E-06 0.2958776E-06 0.3007349E-06 0.3054519E-06
 0.1310980E+06 0.2314246E-06 0.2404235E-06 0.2482463E-06 0.2553002E-06 0.2617986E-06 0.2678808E-06 0.2736292E-06 0.2791238E-06 0.2843902E-06 0.2894585E-06 0.2943896E-06 0.2991487E-06 0.3037683E-06
 0.1209665E+06 0.2310703E-06 0.2399442E-06 0.2476519E-06 0.2545969E-06 0.2609908E-06 0.2669716E-06 0.2726208E-06 0.2780177E-06 0.2831878E-06 0.2881608E-06 0.2929970E-06 0.2976623E-06 0.3021887E-06
 0.1116179E+06 0.2307651E-06 0.2395189E-06 0.2471161E-06 0.2539566E-06 0.2602502E-06 0.2661337E-06 0.2716880E-06 0.2769913E-06 0.2820691E-06 0.2869511E-06 0.2916965E-06 0.2962722E-06 0.3007097E-06
 0.1029919E+06 0.2305082E-06 0.2391464E-06 0.2466375E-06 0.2533777E-06 0.2595752E-06 0.2653654E-06 0.2708286E-06 0.2760423E-06 0.2810319E-06 0.2858267E-06 0.2904854E-06 0.2949753E-06 0.2993280E-06
 0.9503241E+05 0.2302988E-06 0.2388260E-06 0.2462150E-06 0.2528590E-06 0.2589642E-06 0.2646649E-06 0.2700409E-06 0.2751687E-06 0.2800737E-06 0.2847852E-06 0.2893608E-06 0.2937688E-06 0.2980403E-06
 0.8768810E+05 0.2301361E-06 0.2385566E-06 0.2458477E-06 0.2523992E-06 0.2584158E-06 0.2640307E-06 0.2693230E-06 0.2743685E-06 0.2791926E-06 0.2838242E-06 0.2883203E-06 0.2926500E-06 0.2968438E-06
 0.8091137E+05 0.2300196E-06 0.2383375E-06 0.2455344E-06 0.2519971E-06 0.2579287E-06 0.2634612E-06 0.2686733E-06 0.2736399E-06 0.2783864E-06 0.2829415E-06 0.2873615E-06 0.2916162E-06 0.2957358E-06
 0.7465836E+05 0.2299487E-06 0.2381679E-06 0.2452743E-06 0.2516517E-06 0.2575016E-06 0.2629552E-06 0.2680902E-06 0.2729812E-06 0.2776533E-06 0.2821352E-06 0.2864823E-06 0.2906652E-06 0.2947138E-06
