 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.2185014E+05 0.2967974E-08 0.3111761E-08 0.3186744E-08 0.3238263E-08 0.3277809E-08 0.3310128E-08 0.3337570E-08 0.3361589E-08 0.3382952E-08 0.3402231E-08 0.3419947E-08 0.3436198E-08 0.3451270E-08
 0.2047800E+05 0.2966405E-08 0.3108558E-08 0.3182635E-08 0.3233509E-08 0.3272548E-08 0.3304440E-08 0.3331523E-08 0.3355219E-08 0.3376292E-08 0.3395306E-08 0.3412778E-08 0.3428801E-08 0.3443661E-08
 0.1919203E+05 0.2965316E-08 0.3105889E-08 0.3179095E-08 0.3229344E-08 0.3267893E-08 0.3299383E-08 0.3326111E-08 0.3349496E-08 0.3370294E-08 0.3389054E-08 0.3406289E-08 0.3422094E-08 0.3436750E-08
 0.1798682E+05 0.2964697E-08 0.3103753E-08 0.3176116E-08 0.3225765E-08 0.3263844E-08 0.3294942E-08 0.3321331E-08 0.3344418E-08 0.3364946E-08 0.3383456E-08 0.3400464E-08 0.3416059E-08 0.3430518E-08
 0.1685728E+05 0.2964551E-08 0.3102140E-08 0.3173685E-08 0.3222760E-08 0.3260385E-08 0.3291105E-08 0.3317169E-08 0.3339967E-08 0.3360232E-08 0.3378509E-08 0.3395298E-08 0.3410691E-08 0.3424961E-08
 0.1579869E+05 0.2964870E-08 0.3101043E-08 0.3171803E-08 0.3220321E-08 0.3257508E-08 0.3287859E-08 0.3313614E-08 0.3336134E-08 0.3356149E-08 0.3374199E-08 0.3390776E-08 0.3405974E-08 0.3420062E-08
 0.1480656E+05 0.2965648E-08 0.3100452E-08 0.3170459E-08 0.3218435E-08 0.3255200E-08 0.3285205E-08 0.3310653E-08 0.3332904E-08 0.3352683E-08 0.3370513E-08 0.3386888E-08 0.3401897E-08 0.3415810E-08
 0.1387675E+05 0.2966880E-08 0.3100369E-08 0.3169646E-08 0.3217104E-08 0.3253462E-08 0.3283128E-08 0.3308285E-08 0.3330278E-08 0.3349824E-08 0.3367439E-08 0.3383618E-08 0.3398446E-08 0.3412190E-08
 0.1300532E+05 0.2968568E-08 0.3100785E-08 0.3169355E-08 0.3216317E-08 0.3252282E-08 0.3281622E-08 0.3306498E-08 0.3328242E-08 0.3347560E-08 0.3364976E-08 0.3380966E-08 0.3395620E-08 0.3409200E-08
 0.1218861E+05 0.2970706E-08 0.3101697E-08 0.3169587E-08 0.3216068E-08 0.3251655E-08 0.3280676E-08 0.3305285E-08 0.3326789E-08 0.3345892E-08 0.3363111E-08 0.3378919E-08 0.3393404E-08 0.3406828E-08
 0.1142320E+05 0.2973291E-08 0.3103096E-08 0.3170335E-08 0.3216347E-08 0.3251569E-08 0.3280291E-08 0.3304634E-08 0.3325908E-08 0.3344806E-08 0.3361836E-08 0.3377469E-08 0.3391793E-08 0.3405065E-08
 0.1070584E+05 0.2976319E-08 0.3104985E-08 0.3171593E-08 0.3217157E-08 0.3252027E-08 0.3280457E-08 0.3304549E-08 0.3325599E-08 0.3344298E-08 0.3361141E-08 0.3376604E-08 0.3390772E-08 0.3403899E-08
 0.1003354E+05 0.2979792E-08 0.3107359E-08 0.3173355E-08 0.3218490E-08 0.3253021E-08 0.3281169E-08 0.3305018E-08 0.3325854E-08 0.3344355E-08 0.3361027E-08 0.3376327E-08 0.3390345E-08 0.3403331E-08
 0.9403458E+04 0.2983708E-08 0.3110214E-08 0.3175623E-08 0.3220342E-08 0.3254546E-08 0.3282419E-08 0.3306038E-08 0.3326666E-08 0.3344982E-08 0.3361484E-08 0.3376627E-08 0.3390500E-08 0.3403350E-08
 0.8812943E+04 0.2988063E-08 0.3113544E-08 0.3178391E-08 0.3222705E-08 0.3256594E-08 0.3284209E-08 0.3307599E-08 0.3328028E-08 0.3346167E-08 0.3362506E-08 0.3377499E-08 0.3391232E-08 0.3403952E-08
 0.8259510E+04 0.2992855E-08 0.3117355E-08 0.3181657E-08 0.3225584E-08 0.3259170E-08 0.3286532E-08 0.3309705E-08 0.3329941E-08 0.3347908E-08 0.3364086E-08 0.3378933E-08 0.3392531E-08 0.3405125E-08
 0.7740831E+04 0.2998090E-08 0.3121641E-08 0.3185414E-08 0.3228972E-08 0.3262266E-08 0.3289385E-08 0.3312348E-08 0.3332400E-08 0.3350197E-08 0.3366227E-08 0.3380933E-08 0.3394401E-08 0.3406875E-08
 0.7254725E+04 0.3003763E-08 0.3126401E-08 0.3189668E-08 0.3232868E-08 0.3265880E-08 0.3292761E-08 0.3315527E-08 0.3335400E-08 0.3353036E-08 0.3368920E-08 0.3383491E-08 0.3396835E-08 0.3409192E-08
 0.6799145E+04 0.3009875E-08 0.3131631E-08 0.3194415E-08 0.3237265E-08 0.3270006E-08 0.3296665E-08 0.3319233E-08 0.3338934E-08 0.3356420E-08 0.3372164E-08 0.3386605E-08 0.3399828E-08 0.3412072E-08
 0.6372174E+04 0.3016513E-08 0.3137337E-08 0.3199652E-08 0.3242170E-08 0.3274649E-08 0.3301092E-08 0.3323473E-08 0.3343008E-08 0.3360346E-08 0.3375950E-08 0.3390266E-08 0.3403373E-08 0.3415510E-08
 0.5972016E+04 0.3032603E-08 0.3143515E-08 0.3205376E-08 0.3247578E-08 0.3279806E-08 0.3306040E-08 0.3328241E-08 0.3347617E-08 0.3364807E-08 0.3380285E-08 0.3394480E-08 0.3407476E-08 0.3419509E-08
 0.5596987E+04 0.3070698E-08 0.3150177E-08 0.3211594E-08 0.3253488E-08 0.3285474E-08 0.3311503E-08 0.3333535E-08 0.3352758E-08 0.3369811E-08 0.3385164E-08 0.3399243E-08 0.3412131E-08 0.3424063E-08
 0.5245509E+04 0.3117593E-08 0.3161167E-08 0.3218309E-08 0.3259897E-08 0.3291651E-08 0.3317490E-08 0.3339352E-08 0.3358428E-08 0.3375351E-08 0.3390584E-08 0.3404551E-08 0.3417336E-08 0.3429172E-08
 0.4916103E+04 0.3168397E-08 0.3193949E-08 0.3228354E-08 0.3266881E-08 0.3298342E-08 0.3323996E-08 0.3345698E-08 0.3364632E-08 0.3381428E-08 0.3396540E-08 0.3410400E-08 0.3423086E-08 0.3434830E-08
 0.4607383E+04 0.3221914E-08 0.3240410E-08 0.3259714E-08 0.3281789E-08 0.3306799E-08 0.3331157E-08 0.3352579E-08 0.3371366E-08 0.3388037E-08 0.3403042E-08 0.3416798E-08 0.3429389E-08 0.3441043E-08
 0.4318049E+04 0.3278063E-08 0.3293286E-08 0.3307362E-08 0.3321065E-08 0.3334927E-08 0.3349384E-08 0.3364601E-08 0.3380306E-08 0.3395719E-08 0.3410239E-08 0.3423785E-08 0.3436251E-08 0.3447812E-08
 0.4046886E+04 0.3337470E-08 0.3351366E-08 0.3363679E-08 0.3375006E-08 0.3385656E-08 0.3395833E-08 0.3405665E-08 0.3415278E-08 0.3424711E-08 0.3434002E-08 0.3443253E-08 0.3452369E-08 0.3461371E-08
 0.3792751E+04 0.3401417E-08 0.3415397E-08 0.3427753E-08 0.3439071E-08 0.3449654E-08 0.3459697E-08 0.3469313E-08 0.3478608E-08 0.3487612E-08 0.3496356E-08 0.3504933E-08 0.3513275E-08 0.3521424E-08
 0.3554574E+04 0.3470784E-08 0.3485524E-08 0.3498550E-08 0.3510463E-08 0.3521581E-08 0.3532108E-08 0.3542159E-08 0.3551854E-08 0.3561231E-08 0.3570319E-08 0.3579220E-08 0.3587864E-08 0.3596301E-08
 0.3331355E+04 0.3543924E-08 0.3559190E-08 0.3572652E-08 0.3584948E-08 0.3596412E-08 0.3607264E-08 0.3617622E-08 0.3627619E-08 0.3637283E-08 0.3646651E-08 0.3655826E-08 0.3664736E-08 0.3673434E-08
 0.3122154E+04 0.3619308E-08 0.3635044E-08 0.3648914E-08 0.3661590E-08 0.3673407E-08 0.3684593E-08 0.3695274E-08 0.3705576E-08 0.3715539E-08 0.3725196E-08 0.3734656E-08 0.3743843E-08 0.3752812E-08
