 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.9480886E+05 0.5552891E-08 0.5722151E-08 0.5845712E-08 0.5936589E-08 0.6002814E-08 0.6050284E-08 0.6083494E-08 0.6106158E-08 0.6121095E-08 0.6130610E-08 0.6136493E-08 0.6139959E-08 0.6141935E-08
 0.9220100E+05 0.5597002E-08 0.5768275E-08 0.5893331E-08 0.5985318E-08 0.6052360E-08 0.6100420E-08 0.6134043E-08 0.6156991E-08 0.6172115E-08 0.6181749E-08 0.6187708E-08 0.6191218E-08 0.6193218E-08
 0.8966479E+05 0.5641629E-08 0.5814949E-08 0.5941524E-08 0.6034644E-08 0.6102517E-08 0.6151176E-08 0.6185218E-08 0.6208456E-08 0.6223770E-08 0.6233524E-08 0.6239558E-08 0.6243112E-08 0.6245138E-08
 0.8719842E+05 0.5686779E-08 0.5862179E-08 0.5990298E-08 0.6084567E-08 0.6153285E-08 0.6202553E-08 0.6237024E-08 0.6260555E-08 0.6276063E-08 0.6285942E-08 0.6292051E-08 0.6295650E-08 0.6297701E-08
 0.8479989E+05 0.5732456E-08 0.5909970E-08 0.6039659E-08 0.6135097E-08 0.6204674E-08 0.6254562E-08 0.6289468E-08 0.6313297E-08 0.6329002E-08 0.6339007E-08 0.6345193E-08 0.6348838E-08 0.6350916E-08
 0.8246733E+05 0.5778666E-08 0.5958328E-08 0.6089612E-08 0.6186238E-08 0.6256689E-08 0.6307207E-08 0.6342556E-08 0.6366688E-08 0.6382594E-08 0.6392726E-08 0.6398992E-08 0.6402683E-08 0.6404787E-08
 0.8019888E+05 0.5825415E-08 0.6007261E-08 0.6140165E-08 0.6237998E-08 0.6309337E-08 0.6360496E-08 0.6396298E-08 0.6420737E-08 0.6436846E-08 0.6447108E-08 0.6453454E-08 0.6457195E-08 0.6459326E-08
 0.7799288E+05 0.5872706E-08 0.6056770E-08 0.6191324E-08 0.6290384E-08 0.6362628E-08 0.6414439E-08 0.6450697E-08 0.6475452E-08 0.6491768E-08 0.6502160E-08 0.6508590E-08 0.6512377E-08 0.6514536E-08
 0.7584756E+05 0.5920547E-08 0.6106865E-08 0.6243095E-08 0.6343404E-08 0.6416567E-08 0.6469040E-08 0.6505765E-08 0.6530838E-08 0.6547365E-08 0.6557892E-08 0.6564405E-08 0.6568241E-08 0.6570427E-08
 0.7376119E+05 0.5968946E-08 0.6157555E-08 0.6295487E-08 0.6397067E-08 0.6471161E-08 0.6524309E-08 0.6561509E-08 0.6586905E-08 0.6603646E-08 0.6614312E-08 0.6620908E-08 0.6624796E-08 0.6627011E-08
 0.7173228E+05 0.6017907E-08 0.6208844E-08 0.6348507E-08 0.6451377E-08 0.6526422E-08 0.6580255E-08 0.6617937E-08 0.6643663E-08 0.6660622E-08 0.6671427E-08 0.6678109E-08 0.6682045E-08 0.6684292E-08
 0.6975917E+05 0.6067436E-08 0.6260739E-08 0.6402164E-08 0.6506344E-08 0.6582355E-08 0.6636886E-08 0.6675058E-08 0.6701121E-08 0.6718300E-08 0.6729247E-08 0.6736018E-08 0.6740006E-08 0.6742280E-08
 0.6784028E+05 0.6117544E-08 0.6313251E-08 0.6456465E-08 0.6561980E-08 0.6638974E-08 0.6694212E-08 0.6732883E-08 0.6759288E-08 0.6776693E-08 0.6787783E-08 0.6794643E-08 0.6798684E-08 0.6800988E-08
 0.6597422E+05 0.6168236E-08 0.6366386E-08 0.6511419E-08 0.6618290E-08 0.6696281E-08 0.6752242E-08 0.6791420E-08 0.6818171E-08 0.6835807E-08 0.6847043E-08 0.6853995E-08 0.6858089E-08 0.6860423E-08
 0.6415950E+05 0.6219519E-08 0.6420152E-08 0.6567034E-08 0.6675285E-08 0.6754294E-08 0.6810986E-08 0.6850680E-08 0.6877786E-08 0.6895654E-08 0.6907039E-08 0.6914083E-08 0.6918231E-08 0.6920596E-08
 0.6239464E+05 0.6271404E-08 0.6474561E-08 0.6623320E-08 0.6732976E-08 0.6813016E-08 0.6870457E-08 0.6910675E-08 0.6938138E-08 0.6956246E-08 0.6967782E-08 0.6974917E-08 0.6979123E-08 0.6981520E-08
 0.6067838E+05 0.6323893E-08 0.6529616E-08 0.6680288E-08 0.6791370E-08 0.6872461E-08 0.6930661E-08 0.6971411E-08 0.6999242E-08 0.7017591E-08 0.7029280E-08 0.7036512E-08 0.7040772E-08 0.7043201E-08
 0.5900932E+05 0.6377001E-08 0.6585330E-08 0.6737945E-08 0.6850478E-08 0.6932637E-08 0.6991609E-08 0.7032902E-08 0.7061105E-08 0.7079700E-08 0.7091548E-08 0.7098876E-08 0.7103193E-08 0.7105654E-08
 0.5738617E+05 0.6430732E-08 0.6641712E-08 0.6796303E-08 0.6910311E-08 0.6993557E-08 0.7053314E-08 0.7095162E-08 0.7123741E-08 0.7142586E-08 0.7154594E-08 0.7162020E-08 0.7166395E-08 0.7168890E-08
 0.5580763E+05 0.6485099E-08 0.6698772E-08 0.6855372E-08 0.6970881E-08 0.7055232E-08 0.7115788E-08 0.7158196E-08 0.7187163E-08 0.7206262E-08 0.7218430E-08 0.7225959E-08 0.7230393E-08 0.7232922E-08
 0.5427256E+05 0.6540107E-08 0.6756519E-08 0.6915161E-08 0.7032196E-08 0.7117672E-08 0.7179041E-08 0.7222020E-08 0.7251379E-08 0.7270737E-08 0.7283070E-08 0.7290702E-08 0.7295197E-08 0.7297759E-08
 0.5277970E+05 0.6595767E-08 0.6814962E-08 0.6975682E-08 0.7094268E-08 0.7180889E-08 0.7243085E-08 0.7286646E-08 0.7316404E-08 0.7336026E-08 0.7348526E-08 0.7356262E-08 0.7360818E-08 0.7363416E-08
 0.5132787E+05 0.6652089E-08 0.6874115E-08 0.7036947E-08 0.7157110E-08 0.7244895E-08 0.7307932E-08 0.7352088E-08 0.7382249E-08 0.7402139E-08 0.7414813E-08 0.7422655E-08 0.7427273E-08 0.7429907E-08
 0.4991602E+05 0.6709081E-08 0.6933984E-08 0.7098964E-08 0.7220733E-08 0.7309705E-08 0.7373598E-08 0.7418354E-08 0.7448931E-08 0.7469094E-08 0.7481940E-08 0.7489889E-08 0.7494571E-08 0.7497241E-08
 0.4854300E+05 0.6766753E-08 0.6994582E-08 0.7161747E-08 0.7285152E-08 0.7375326E-08 0.7440091E-08 0.7485463E-08 0.7516457E-08 0.7536898E-08 0.7549923E-08 0.7557980E-08 0.7562727E-08 0.7565434E-08
 0.4720771E+05 0.6825119E-08 0.7055922E-08 0.7225310E-08 0.7350375E-08 0.7441775E-08 0.7507427E-08 0.7553423E-08 0.7584845E-08 0.7605568E-08 0.7618774E-08 0.7626945E-08 0.7631758E-08 0.7634502E-08
 0.4590919E+05 0.6884184E-08 0.7118012E-08 0.7289660E-08 0.7416419E-08 0.7509067E-08 0.7575621E-08 0.7622249E-08 0.7654109E-08 0.7675121E-08 0.7688508E-08 0.7696793E-08 0.7701673E-08 0.7704455E-08
 0.4464638E+05 0.6943962E-08 0.7180865E-08 0.7354813E-08 0.7483293E-08 0.7577210E-08 0.7644683E-08 0.7691958E-08 0.7724261E-08 0.7745566E-08 0.7759140E-08 0.7767540E-08 0.7772489E-08 0.7775310E-08
 0.4341831E+05 0.7004463E-08 0.7244494E-08 0.7420779E-08 0.7551010E-08 0.7646220E-08 0.7714627E-08 0.7762563E-08 0.7795315E-08 0.7816918E-08 0.7830685E-08 0.7839204E-08 0.7844221E-08 0.7847082E-08
