 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.5145470E+06 0.1525166E-06 0.1571992E-06 0.1612126E-06 0.1634014E-06 0.1636594E-06 0.1639136E-06 0.1641640E-06 0.1644115E-06 0.1646555E-06 0.1648958E-06 0.1651343E-06 0.1653684E-06 0.1655990E-06
 0.4747817E+06 0.1525285E-06 0.1571653E-06 0.1611372E-06 0.1646730E-06 0.1653184E-06 0.1655752E-06 0.1658282E-06 0.1660782E-06 0.1663246E-06 0.1665674E-06 0.1668083E-06 0.1670448E-06 0.1672777E-06
 0.4380895E+06 0.1525629E-06 0.1571552E-06 0.1610872E-06 0.1645858E-06 0.1670028E-06 0.1672623E-06 0.1675178E-06 0.1677704E-06 0.1680193E-06 0.1682646E-06 0.1685079E-06 0.1687468E-06 0.1689821E-06
 0.4042330E+06 0.1526195E-06 0.1571690E-06 0.1610622E-06 0.1645249E-06 0.1676755E-06 0.1689752E-06 0.1692334E-06 0.1694885E-06 0.1697400E-06 0.1699878E-06 0.1702337E-06 0.1704750E-06 0.1707126E-06
 0.3729929E+06 0.1526981E-06 0.1572062E-06 0.1610621E-06 0.1644901E-06 0.1676080E-06 0.1704920E-06 0.1709754E-06 0.1712332E-06 0.1714873E-06 0.1717376E-06 0.1719860E-06 0.1722298E-06 0.1724699E-06
 0.3441672E+06 0.1527986E-06 0.1572668E-06 0.1610866E-06 0.1644811E-06 0.1675673E-06 0.1704211E-06 0.1727445E-06 0.1730050E-06 0.1732617E-06 0.1735146E-06 0.1737656E-06 0.1740119E-06 0.1742545E-06
 0.3175692E+06 0.1529210E-06 0.1573505E-06 0.1611356E-06 0.1644977E-06 0.1675533E-06 0.1703779E-06 0.1730166E-06 0.1748044E-06 0.1750638E-06 0.1753193E-06 0.1755729E-06 0.1758218E-06 0.1760669E-06
 0.2930268E+06 0.1530650E-06 0.1574573E-06 0.1612087E-06 0.1645396E-06 0.1675658E-06 0.1703622E-06 0.1729737E-06 0.1754420E-06 0.1768942E-06 0.1771523E-06 0.1774086E-06 0.1776601E-06 0.1779078E-06
 0.2703810E+06 0.1532306E-06 0.1575869E-06 0.1613059E-06 0.1646066E-06 0.1676043E-06 0.1703735E-06 0.1729589E-06 0.1754017E-06 0.1777176E-06 0.1790143E-06 0.1792732E-06 0.1795273E-06 0.1797776E-06
 0.2494854E+06 0.1534178E-06 0.1577393E-06 0.1614270E-06 0.1646986E-06 0.1676689E-06 0.1704118E-06 0.1729719E-06 0.1753902E-06 0.1776821E-06 0.1798644E-06 0.1811674E-06 0.1814242E-06 0.1816771E-06
 0.2302046E+06 0.1536264E-06 0.1579144E-06 0.1615718E-06 0.1648154E-06 0.1677592E-06 0.1704768E-06 0.1730124E-06 0.1754070E-06 0.1776759E-06 0.1798357E-06 0.1819151E-06 0.1833513E-06 0.1836069E-06
 0.2124139E+06 0.1538564E-06 0.1581121E-06 0.1617404E-06 0.1649569E-06 0.1678750E-06 0.1705682E-06 0.1730803E-06 0.1754521E-06 0.1776987E-06 0.1798368E-06 0.1818949E-06 0.1838606E-06 0.1855675E-06
 0.1959980E+06 0.1541078E-06 0.1583323E-06 0.1619325E-06 0.1651228E-06 0.1680164E-06 0.1706859E-06 0.1731754E-06 0.1755250E-06 0.1777503E-06 0.1798674E-06 0.1819049E-06 0.1838506E-06 0.1857201E-06
 0.1808509E+06 0.1543805E-06 0.1585751E-06 0.1621481E-06 0.1653133E-06 0.1681830E-06 0.1708298E-06 0.1732974E-06 0.1756258E-06 0.1778303E-06 0.1799273E-06 0.1819449E-06 0.1838712E-06 0.1857218E-06
 0.1668743E+06 0.1546747E-06 0.1588403E-06 0.1623872E-06 0.1655281E-06 0.1683749E-06 0.1709997E-06 0.1734462E-06 0.1757541E-06 0.1779387E-06 0.1800162E-06 0.1820147E-06 0.1839223E-06 0.1857546E-06
 0.1539779E+06 0.1549902E-06 0.1591279E-06 0.1626497E-06 0.1657671E-06 0.1685918E-06 0.1711956E-06 0.1736217E-06 0.1759098E-06 0.1780752E-06 0.1801340E-06 0.1821140E-06 0.1840036E-06 0.1858182E-06
 0.1420782E+06 0.1553272E-06 0.1594381E-06 0.1629355E-06 0.1660305E-06 0.1688338E-06 0.1714172E-06 0.1738237E-06 0.1760928E-06 0.1782396E-06 0.1802804E-06 0.1822426E-06 0.1841148E-06 0.1859125E-06
 0.1310980E+06 0.1556857E-06 0.1597707E-06 0.1632448E-06 0.1663180E-06 0.1691009E-06 0.1716646E-06 0.1740522E-06 0.1763029E-06 0.1784319E-06 0.1804552E-06 0.1824003E-06 0.1842559E-06 0.1860371E-06
 0.1209665E+06 0.1560656E-06 0.1601258E-06 0.1635775E-06 0.1666298E-06 0.1693929E-06 0.1719377E-06 0.1743071E-06 0.1765401E-06 0.1786519E-06 0.1806585E-06 0.1825870E-06 0.1844265E-06 0.1861919E-06
 0.1116179E+06 0.1564672E-06 0.1605035E-06 0.1639336E-06 0.1669658E-06 0.1697099E-06 0.1722365E-06 0.1745884E-06 0.1768044E-06 0.1788996E-06 0.1808900E-06 0.1828026E-06 0.1846265E-06 0.1863768E-06
 0.1029919E+06 0.1568905E-06 0.1609039E-06 0.1643132E-06 0.1673260E-06 0.1700518E-06 0.1725610E-06 0.1748960E-06 0.1770955E-06 0.1791748E-06 0.1811497E-06 0.1830470E-06 0.1848560E-06 0.1865915E-06
 0.9503241E+05 0.1573356E-06 0.1613270E-06 0.1647163E-06 0.1677106E-06 0.1704188E-06 0.1729111E-06 0.1752299E-06 0.1774137E-06 0.1794776E-06 0.1814375E-06 0.1833200E-06 0.1851146E-06 0.1868361E-06
 0.8768810E+05 0.1578026E-06 0.1617729E-06 0.1651431E-06 0.1681195E-06 0.1708108E-06 0.1732869E-06 0.1755901E-06 0.1777587E-06 0.1798079E-06 0.1817533E-06 0.1836217E-06 0.1854025E-06 0.1871103E-06
 0.8091137E+05 0.1582916E-06 0.1622417E-06 0.1655936E-06 0.1685529E-06 0.1712279E-06 0.1736885E-06 0.1759767E-06 0.1781307E-06 0.1801657E-06 0.1820973E-06 0.1839520E-06 0.1857194E-06 0.1874143E-06
 0.7465836E+05 0.1588028E-06 0.1627336E-06 0.1660679E-06 0.1690108E-06 0.1716703E-06 0.1741159E-06 0.1763897E-06 0.1785297E-06 0.1805510E-06 0.1824693E-06 0.1843109E-06 0.1860655E-06 0.1877478E-06
 0.6888860E+05 0.1593364E-06 0.1632487E-06 0.1665661E-06 0.1694933E-06 0.1721379E-06 0.1745692E-06 0.1768291E-06 0.1789557E-06 0.1809639E-06 0.1828694E-06 0.1846984E-06 0.1864407E-06 0.1881109E-06
 0.6356473E+05 0.1598926E-06 0.1637872E-06 0.1670885E-06 0.1700006E-06 0.1726309E-06 0.1750485E-06 0.1772952E-06 0.1794089E-06 0.1814045E-06 0.1832977E-06 0.1851146E-06 0.1868451E-06 0.1885037E-06
 0.5865231E+05 0.1604714E-06 0.1643492E-06 0.1676352E-06 0.1705329E-06 0.1731495E-06 0.1755539E-06 0.1777879E-06 0.1798892E-06 0.1818728E-06 0.1837542E-06 0.1855595E-06 0.1872786E-06 0.1889260E-06
 0.5411953E+05 0.1610732E-06 0.1649350E-06 0.1682063E-06 0.1710902E-06 0.1736937E-06 0.1760856E-06 0.1783074E-06 0.1803969E-06 0.1823689E-06 0.1842390E-06 0.1860331E-06 0.1877414E-06 0.1893781E-06
 0.4993705E+05 0.1616981E-06 0.1655447E-06 0.1688020E-06 0.1716728E-06 0.1742638E-06 0.1766437E-06 0.1788539E-06 0.1809320E-06 0.1828929E-06 0.1847522E-06 0.1865357E-06 0.1882335E-06 0.1898600E-06
 0.4607781E+05 0.1623464E-06 0.1661785E-06 0.1694226E-06 0.1722809E-06 0.1748600E-06 0.1772284E-06 0.1794275E-06 0.1814947E-06 0.1834451E-06 0.1852940E-06 0.1870672E-06 0.1887550E-06 0.1903717E-06
 0.4251681E+05 0.1630183E-06 0.1668368E-06 0.1700682E-06 0.1729147E-06 0.1754824E-06 0.1778399E-06 0.1800284E-06 0.1820852E-06 0.1840255E-06 0.1858645E-06 0.1876279E-06 0.1893062E-06 0.1909135E-06
 0.3923102E+05 0.1637141E-06 0.1675197E-06 0.1707392E-06 0.1735744E-06 0.1761313E-06 0.1784784E-06 0.1806567E-06 0.1827037E-06 0.1846343E-06 0.1864639E-06 0.1882180E-06 0.1898871E-06 0.1914854E-06
 0.3619916E+05 0.1644341E-06 0.1682275E-06 0.1714358E-06 0.1742602E-06 0.1768070E-06 0.1791441E-06 0.1813129E-06 0.1833504E-06 0.1852718E-06 0.1870923E-06 0.1888375E-06 0.1904978E-06 0.1920876E-06
 0.3340161E+05 0.1651786E-06 0.1689606E-06 0.1721581E-06 0.1749725E-06 0.1775096E-06 0.1798373E-06 0.1819969E-06 0.1840256E-06 0.1859381E-06 0.1877501E-06 0.1894868E-06 0.1911388E-06 0.1927203E-06
 0.3082026E+05 0.1659478E-06 0.1697191E-06 0.1729067E-06 0.1757115E-06 0.1782394E-06 0.1805582E-06 0.1827092E-06 0.1847293E-06 0.1866336E-06 0.1884374E-06 0.1901659E-06 0.1918100E-06 0.1933837E-06
 0.2843840E+05 0.1667422E-06 0.1705035E-06 0.1736817E-06 0.1764776E-06 0.1789968E-06 0.1813072E-06 0.1834500E-06 0.1854621E-06 0.1873584E-06 0.1891544E-06 0.1908753E-06 0.1925118E-06 0.1940780E-06
