#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   387.25764492161727       -2.6040717686693164
   390.84089579240208       -2.6040718795690845
   394.45730207527851       -2.6042280790735255
   398.10717055349733       -2.6044776045984377
   401.79081084894000       -2.6047269907431447
   405.50853544838390       -2.6049767670771411
   409.26065973001096       -2.6052264313914986
   413.04750199016144       -2.6052920019445063
   416.86938347033549       -2.6052921127741522
   420.72662838444421       -2.6053655963018092
   424.61956394631301       -2.6056149757783182
   428.54852039743963       -2.6058641730426171
   432.51383103500882       -2.6061081890006594
   436.51583224016611       -2.6063570248772221
   440.55486350655343       -2.6065047319433683
   444.63126746910882       -2.6065048423802923
   448.74538993313229       -2.6065049528171818
   452.89757990362091       -2.6067442880490801
   457.08818961487520       -2.6069926708834816
   461.31757456037957       -2.6072408802227161
   465.58609352295912       -2.6074889184269461
   469.89410860521559       -2.6077182304499575
   474.24198526024480       -2.6077183405129181
   478.63009232263852       -2.6077184505758462
   483.05880203977284       -2.6078749591902310
   487.52849010338599       -2.6081225714627490
   492.03953568145113       -2.6083236371277563
   496.59232145033576       -2.6083237470139280
   501.18723362727246       -2.6083238569000691
   505.82466200311376       -2.6085079626826695
   510.50499997540646       -2.6087551671339857
   515.22864458175616       -2.6090022171354832
   519.99599653351618       -2.6092491154205337
   524.80746024977225       -2.6094958646172581
   529.66344389165806       -2.6095314138460854
   534.56435939697133       -2.6095315234008325
   539.51062251512792       -2.6096334193383841
   544.50265284242084       -2.6098799411758704
   549.54087385762477       -2.6101263198934390
   554.62571295791042       -2.6103725574244292
   559.75760149511041       -2.6106180965723742
   564.93697481230220       -2.6107335341420264
   570.16427228074781       -2.6107336421420895
